Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
databricks_JDBC_Request,100,6113,4605,11285,12964,16061,3534,17513,0.00%,.2,1127.2,3184.47
TOTAL,100,6113,4605,11285,12964,16061,3534,17513,0.00%,.2,1127.2,3184.47
